lfdn,vote,prompt_A,CDU/CSU,SPD,Grünen,AfD,Die Linke,FDP,predicted_vote,age,female,edu,emp,hhincome,east,religious,leftright,partyid,partyid_degree,party,inequality,immigration
907,CDU/CSU,"Ich bin 49 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. ",40.0,25.0,15.0,5.0,5.0,10.0,CDU/CSU,49,männlich,einen Hochschulabschluss,berufstätig,hohes,Westdeutschland,etwas religiös,in der Mitte,mit der Partei CDU/CSU,mäßig ,mäßig mit der Partei CDU/CSU,"habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte",weder erleichtern noch einschränken
909,CDU/CSU,"Ich bin 18 Jahre alt. Ich bin männlich. Ich habe einen Hauptschulabschluss. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin in Ausbildung. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich mittig rechts ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",60.0,10.0,5.0,20.0,3.0,2.0,CDU/CSU,18,männlich,einen Hauptschulabschluss,in Ausbildung,hohes,Westdeutschland,nicht sehr religiös,mittig rechts,mit keiner Partei,,mit keiner Partei,keine Maßnahmen ergreifen,einschränken
911,CDU/CSU,"Ich bin 37 Jahre alt. Ich bin weiblich. Ich habe einen Hochschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",60.0,20.0,10.0,5.0,3.0,2.0,CDU/CSU,37,weiblich,einen Hochschulabschluss,berufstätig,mittleres,Westdeutschland,etwas religiös,,mit der Partei CDU/CSU,ziemlich stark ,ziemlich stark mit der Partei CDU/CSU,Maßnahmen ergreifen,erleichtern
912,CDU/CSU,"Ich bin 79 Jahre alt. Ich bin weiblich. Ich habe einen Hochschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich mäßig mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",15.0,25.0,30.0,10.0,15.0,5.0,Bündnis 90/Die Grünen,79,weiblich,einen Hochschulabschluss,nicht berufstätig,mittleres,Westdeutschland,sehr religiös,mittig links,mit der Partei Bündnis 90/Die Grünen,mäßig ,mäßig mit der Partei Bündnis 90/Die Grünen,Maßnahmen ergreifen,einschränken
914,CDU/CSU,"Ich bin 44 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",40.0,25.0,10.0,15.0,5.0,5.0,CDU/CSU,44,weiblich,einen Realschulabschluss,berufstätig,mittleres,Westdeutschland,nicht sehr religiös,in der Mitte,mit der Partei CDU/CSU,mäßig ,mäßig mit der Partei CDU/CSU,Maßnahmen ergreifen,einschränken
916,AfD,"Ich bin 39 Jahre alt. Ich bin männlich. Ich habe einen Hauptschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich stark rechts ein. Ich identifiziere mich ziemlich stark mit der Partei AfD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",10.0,3.0,1.0,80.0,1.0,5.0,AfD,39,männlich,einen Hauptschulabschluss,berufstätig,mittleres,Westdeutschland,nicht sehr religiös,stark rechts,mit der Partei AfD,ziemlich stark ,ziemlich stark mit der Partei AfD,Maßnahmen ergreifen,einschränken
917,CDU/CSU,"Ich bin 76 Jahre alt. Ich bin weiblich. Ich habe einen Hauptschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",60.0,20.0,5.0,10.0,3.0,2.0,CDU/CSU,76,weiblich,einen Hauptschulabschluss,nicht berufstätig,mittleres,Westdeutschland,nicht sehr religiös,in der Mitte,mit der Partei CDU/CSU,ziemlich stark ,ziemlich stark mit der Partei CDU/CSU,Maßnahmen ergreifen,einschränken
918,FDP,"Ich bin 79 Jahre alt. Ich bin männlich. Ich habe einen Realschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",40.0,30.0,10.0,15.0,5.0,0.0,CDU/CSU,79,männlich,einen Realschulabschluss,berufstätig,mittleres,Westdeutschland,sehr religiös,in der Mitte,mit keiner Partei,,mit keiner Partei,Maßnahmen ergreifen,einschränken
919,AfD,"Ich bin 36 Jahre alt. Ich bin weiblich. Ich habe einen Hauptschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei AfD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",10.0,20.0,3.0,60.0,5.0,2.0,AfD,36,weiblich,einen Hauptschulabschluss,nicht berufstätig,mittleres,Westdeutschland,etwas religiös,in der Mitte,mit der Partei AfD,ziemlich stark ,ziemlich stark mit der Partei AfD,Maßnahmen ergreifen,einschränken
920,FDP,"Ich bin 56 Jahre alt. Ich bin weiblich. Ich habe einen Hochschulabschluss. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",5.0,10.0,20.0,2.0,3.0,60.0,FDP,56,weiblich,einen Hochschulabschluss,berufstätig,hohes,Westdeutschland,etwas religiös,in der Mitte,mit der Partei FDP,ziemlich stark ,ziemlich stark mit der Partei FDP,Maßnahmen ergreifen,erleichtern
921,CDU/CSU,"Ich bin 64 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich habe ein niedriges monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",15.0,25.0,10.0,20.0,15.0,15.0,SPD,64,weiblich,einen Realschulabschluss,nicht berufstätig,niedriges,Westdeutschland,überhaupt nicht religiös,in der Mitte,mit der Partei FDP,mäßig ,mäßig mit der Partei FDP,Maßnahmen ergreifen,einschränken
924,CDU/CSU,"Ich bin 61 Jahre alt. Ich bin weiblich. Ich habe einen Hauptschulabschluss. Ich habe ein niedriges monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",80.0,10.0,2.0,5.0,3.0,0.0,CDU/CSU,61,weiblich,einen Hauptschulabschluss,nicht berufstätig,niedriges,Westdeutschland,etwas religiös,in der Mitte,mit der Partei CDU/CSU,ziemlich stark ,ziemlich stark mit der Partei CDU/CSU,Maßnahmen ergreifen,einschränken
926,FDP,"Ich bin 77 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich mäßig mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",10.0,30.0,20.0,15.0,10.0,15.0,SPD,77,weiblich,einen Realschulabschluss,nicht berufstätig,mittleres,Westdeutschland,etwas religiös,mittig links,mit der Partei FDP,mäßig ,mäßig mit der Partei FDP,Maßnahmen ergreifen,einschränken
927,Die Linke,"Ich bin 31 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich sehr stark mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. ",5.0,10.0,60.0,2.0,15.0,8.0,Bündnis 90/Die Grünen,31,männlich,einen Hochschulabschluss,berufstätig,mittleres,Westdeutschland,überhaupt nicht religiös,mittig links,mit der Partei Bündnis 90/Die Grünen,sehr stark ,sehr stark mit der Partei Bündnis 90/Die Grünen,"habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte",erleichtern
929,Bündnis 90/Die Grünen,"Ich bin 67 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein niedriges monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich stark links ein. Ich identifiziere mich ziemlich stark mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",2.0,15.0,60.0,0.0,20.0,3.0,Bündnis 90/Die Grünen,67,weiblich,Abitur,nicht berufstätig,niedriges,Westdeutschland,überhaupt nicht religiös,stark links,mit der Partei Bündnis 90/Die Grünen,ziemlich stark ,ziemlich stark mit der Partei Bündnis 90/Die Grünen,Maßnahmen ergreifen,erleichtern
930,Bündnis 90/Die Grünen,"Ich bin 33 Jahre alt. Ich bin männlich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",10.0,20.0,40.0,5.0,15.0,10.0,Bündnis 90/Die Grünen,33,männlich,Abitur,berufstätig,mittleres,Westdeutschland,etwas religiös,in der Mitte,mit der Partei Bündnis 90/Die Grünen,mäßig ,mäßig mit der Partei Bündnis 90/Die Grünen,Maßnahmen ergreifen,weder erleichtern noch einschränken
931,CDU/CSU,"Ich bin 73 Jahre alt. Ich bin weiblich. Ich habe einen Hauptschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin etwas religiös. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",60.0,10.0,3.0,20.0,5.0,2.0,CDU/CSU,73,weiblich,einen Hauptschulabschluss,nicht berufstätig,mittleres,Westdeutschland,etwas religiös,,mit der Partei CDU/CSU,mäßig ,mäßig mit der Partei CDU/CSU,Maßnahmen ergreifen,einschränken
932,Bündnis 90/Die Grünen,"Ich bin 25 Jahre alt. Ich bin männlich. Ich habe Abitur. Ich habe ein niedriges monatliches Haushalts-Nettoeinkommen. Ich bin in Ausbildung. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein.  Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",10.0,25.0,20.0,10.0,30.0,5.0,Die Linke,25,männlich,Abitur,in Ausbildung,niedriges,Westdeutschland,überhaupt nicht religiös,in der Mitte,,,,Maßnahmen ergreifen,erleichtern
933,Die Linke,"Ich bin 52 Jahre alt. Ich bin weiblich. Ich habe einen Hochschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich ziemlich stark mit der Partei Die Linke. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",3.0,10.0,5.0,1.0,80.0,1.0,Die Linke,52,weiblich,einen Hochschulabschluss,berufstätig,mittleres,Westdeutschland,nicht sehr religiös,mittig links,mit der Partei Die Linke,ziemlich stark ,ziemlich stark mit der Partei Die Linke,Maßnahmen ergreifen,erleichtern
934,SPD,"Ich bin 63 Jahre alt. Ich bin männlich. Ich habe einen Realschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei SPD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",20.0,60.0,10.0,3.0,5.0,2.0,SPD,63,männlich,einen Realschulabschluss,berufstätig,mittleres,Westdeutschland,sehr religiös,in der Mitte,mit der Partei SPD,ziemlich stark ,ziemlich stark mit der Partei SPD,Maßnahmen ergreifen,weder erleichtern noch einschränken
935,AfD,"Ich bin 46 Jahre alt. Ich bin männlich. Ich habe Abitur. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei AfD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. ",20.618556701030926,2.0618556701030926,5.154639175257731,61.855670103092784,0.0,10.309278350515463,AfD,46,männlich,Abitur,berufstätig,hohes,Westdeutschland,überhaupt nicht religiös,in der Mitte,mit der Partei AfD,ziemlich stark ,ziemlich stark mit der Partei AfD,"habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte",einschränken
936,FDP,"Ich bin 62 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",15.0,30.0,20.0,5.0,10.0,20.0,SPD,62,weiblich,einen Realschulabschluss,nicht berufstätig,mittleres,Westdeutschland,nicht sehr religiös,in der Mitte,mit der Partei FDP,mäßig ,mäßig mit der Partei FDP,Maßnahmen ergreifen,
937,SPD,"Ich bin 29 Jahre alt. Ich bin weiblich. Ich habe einen Hochschulabschluss. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",10.0,25.0,20.0,10.0,30.0,5.0,Die Linke,29,weiblich,einen Hochschulabschluss,berufstätig,hohes,Westdeutschland,überhaupt nicht religiös,mittig links,mit keiner Partei,,mit keiner Partei,Maßnahmen ergreifen,erleichtern
938,CDU/CSU,"Ich bin 77 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich bin nicht berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich mittig rechts ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",80.0,5.0,2.0,8.0,3.0,2.0,CDU/CSU,77,weiblich,einen Realschulabschluss,nicht berufstätig,,Westdeutschland,sehr religiös,mittig rechts,mit der Partei CDU/CSU,ziemlich stark ,ziemlich stark mit der Partei CDU/CSU,Maßnahmen ergreifen,einschränken
940,SPD,"Ich bin 62 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei SPD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",20.0,60.0,5.0,5.0,5.0,5.0,SPD,62,männlich,einen Hochschulabschluss,berufstätig,mittleres,Westdeutschland,sehr religiös,in der Mitte,mit der Partei SPD,ziemlich stark ,ziemlich stark mit der Partei SPD,keine Maßnahmen ergreifen,weder erleichtern noch einschränken
941,SPD,"Ich bin 34 Jahre alt. Ich bin männlich. Ich habe Abitur. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",10.0,20.0,25.0,15.0,30.0,0.0,Die Linke,34,männlich,Abitur,berufstätig,hohes,Westdeutschland,überhaupt nicht religiös,mittig links,mit keiner Partei,,mit keiner Partei,Maßnahmen ergreifen,einschränken
942,FDP,"Ich bin 19 Jahre alt. Ich bin männlich. Ich habe keinen Schulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin in Ausbildung. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",30.0,10.0,5.0,40.0,5.0,10.0,AfD,19,männlich,keinen Schulabschluss,in Ausbildung,mittleres,Westdeutschland,überhaupt nicht religiös,in der Mitte,mit keiner Partei,,mit keiner Partei,keine Maßnahmen ergreifen,einschränken
943,Bündnis 90/Die Grünen,"Ich bin 44 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich ziemlich stark mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",5.0,15.0,60.0,2.0,10.0,8.0,Bündnis 90/Die Grünen,44,männlich,einen Hochschulabschluss,berufstätig,mittleres,Westdeutschland,etwas religiös,mittig links,mit der Partei Bündnis 90/Die Grünen,ziemlich stark ,ziemlich stark mit der Partei Bündnis 90/Die Grünen,Maßnahmen ergreifen,erleichtern
944,Bündnis 90/Die Grünen,"Ich bin 63 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich stark links ein. Ich identifiziere mich sehr stark mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",0.0,5.0,80.0,0.0,15.0,0.0,Bündnis 90/Die Grünen,63,männlich,einen Hochschulabschluss,berufstätig,hohes,Westdeutschland,überhaupt nicht religiös,stark links,mit der Partei Bündnis 90/Die Grünen,sehr stark ,sehr stark mit der Partei Bündnis 90/Die Grünen,Maßnahmen ergreifen,erleichtern
945,CDU/CSU,"Ich bin 55 Jahre alt. Ich bin weiblich. Ich habe einen Hochschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich mittig rechts ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. ",60.0,5.0,3.0,20.0,2.0,10.0,CDU/CSU,55,weiblich,einen Hochschulabschluss,nicht berufstätig,mittleres,Westdeutschland,sehr religiös,mittig rechts,mit der Partei CDU/CSU,ziemlich stark ,ziemlich stark mit der Partei CDU/CSU,"habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte",einschränken
946,SPD,"Ich bin 50 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich mittig rechts ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",60.0,20.0,10.0,5.0,3.0,2.0,CDU/CSU,50,männlich,einen Hochschulabschluss,berufstätig,mittleres,Westdeutschland,etwas religiös,mittig rechts,mit der Partei CDU/CSU,ziemlich stark ,ziemlich stark mit der Partei CDU/CSU,Maßnahmen ergreifen,erleichtern
948,SPD,"Ich bin 58 Jahre alt. Ich bin weiblich. Ich habe einen Hauptschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei SPD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",10.0,40.0,20.0,5.0,15.0,10.0,SPD,58,weiblich,einen Hauptschulabschluss,berufstätig,mittleres,Westdeutschland,überhaupt nicht religiös,in der Mitte,mit der Partei SPD,mäßig ,mäßig mit der Partei SPD,Maßnahmen ergreifen,weder erleichtern noch einschränken
949,FDP,"Ich bin 68 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",15.0,40.0,30.0,2.0,10.0,3.0,SPD,68,weiblich,einen Realschulabschluss,berufstätig,mittleres,Westdeutschland,etwas religiös,in der Mitte,mit keiner Partei,,mit keiner Partei,Maßnahmen ergreifen,erleichtern
950,FDP,"Ich bin 43 Jahre alt. Ich bin männlich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ",60.0,20.0,5.0,5.0,5.0,5.0,CDU/CSU,43,männlich,Abitur,nicht berufstätig,mittleres,Westdeutschland,etwas religiös,in der Mitte,mit der Partei CDU/CSU,ziemlich stark ,ziemlich stark mit der Partei CDU/CSU,Maßnahmen ergreifen,weder erleichtern noch einschränken
952,FDP,"Ich bin 36 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich habe ein hohes monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. ",5.0,10.0,20.0,2.0,3.0,60.0,FDP,36,männlich,einen Hochschulabschluss,berufstätig,hohes,Westdeutschland,nicht sehr religiös,in der Mitte,mit der Partei FDP,mäßig ,mäßig mit der Partei FDP,"habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte",erleichtern
